locn_nbr,locn_cty,locn_st_cd,zip_cd,zip_pls_4,locn_addr
1317,EL PASO             ,TX,79925,05600,8401 GATEWAY BLVD W      
1368,CONCORD             ,CA,94520,05802,1001 SUNVALLEY BLVD      
1149,WHITTIER            ,CA,90603,02300,15600 WHITTWOOD LN       
1139,TUKWILA             ,WA,98188,02811,301 SOUTHCENTER MALL     
1283,BRAINTREE           ,MA,02184,02803,250 GRANITE ST           
1765,PALM BCH GDNS       ,FL,33410,02820,3101 PGA BLVD            
1288,STOCKTON            ,CA,95207,06305,5110 PACIFIC AVE         
1044,JERSEY CITY         ,NJ,07310,01601,50 MALL DR WEST          
1285,ORLANDO             ,FL,32809,07654,8001 S ORANGE BLOSSOM TRL
1335,GREENSBORO          ,NC,27406,07604,3200 W FRIENDLY AVE      
1125,MIAMI               ,FL,33145,03014,3655 SW 22ND ST          
1797,OVERLAND PARK       ,KS,66209,02732,6327 W119TH STREET       
1711,CAMP HILL           ,PA,17011,00000,3740 CAPITAL CITY MALL DR
1706,LAFAYETTE           ,LA,70508,06705,4405 AMBASSADOR CAFFERY  
1629,PHARR               ,TX,78577,02108,500 N JACKSON RD B-1     
1467,FORT COLLINS        ,CO,80525,02607,3400 S COLLEGE AVENUE    
1905,SAN JUAN            ,PR,00918,08001,AVE F D ROOSEVELT        
2266,ST CROIX            ,VI,00840,00000,REMAINDER MARTICULATE #1 
5205,BRIDGEHAMPTON       ,NY,11976,00000,2044 MONTAUK HWY         
1992,TAMUNING            ,GU,96913,04109,404 N MARINE CORPS DR    
3659,HOFFMAN EST         ,IL,60179,03333,3333 BEVERLY ROAD        
9016,ST THOMAS           ,VI,00802,00000,26-A TU TU PARK MALL     
2151,ST CROIX            ,VI,00820,00000,P.O. BOX 5994            
7413,ST CROIX            ,VI,00840,00000,REMAINDER MATRICULATE #1 
7793,ST THOMAS           ,VI,00802,02885,ROUTE #313               
3829,ST THOMAS           ,VI,00802,00000,26A TUTU PARK MALL       
3972,ST CROIX            ,VI,00820,00000,STORE A                  
7716,HESPERIA            ,CA,92345,00000,SWC MAIN ST/ESCONDIDO AVE
9380,BAYSHORE            ,NY,12010,00000,SEQ SUNRISE HWY AND SAXON
7464,N MELBOURNE         ,FL,32935,00000,NWC WICKHAM RD & PARKWAY 
9356,CREVE COUER         ,MO,63141,05098,955 WOODCREST EXEC DRIVE 
9384,JACKSON HEIGHTS     ,NY,12010,00000,SEQ GRAND CENTRAL PKWY   
7712,HAZLET              ,NJ,07730,00000,ST RTE 35 & MILLER AVE   
9731,WETUMPKA            ,AL,35206,00000,US 231 SOUTH OF MAIN     
4804,LOUISVILLE          ,KY,40228,00000,SWC OF BARDSTOWN & BEULAH
9718,WASHINGTON          ,MO,64131,00000,HIGHWAY 100  HIGHWAY 47  
7780,PHILADELPHIA        ,PA,19134,00000,ARAMINGO AVE @ CASTOR AVE
9321,OTTAWA              ,OH,45750,00000,STATE RTE 65 N OF 11TH   
9441,NEWARK              ,NJ,07470,00000,JONES AND SPRINGFIELD    
3926,CORDOVA             ,TN,38118,00000,SWC OF GERMANTOWN RD I-40
7651,HUNTINGTON          ,NY,13031,00000,RTE 110                  
7696,WINSTON SALEM       ,NC,27106,00000,SEC UNIVERSITY PKWY      
9451,BROOKLYN            ,NY,11214,00000,ATLANTIC AVE AND FLATBUSH
7731,MACON               ,GA,31206,00000,SEC EISENHOWER/HARRISON  
7675,MIDDLETOWN          ,RI,02840,00000,SWC ROUTE #138 AND VALLEY
9432,MARGATE             ,FL,33063,04563,ATLANTIC BLVD AND HWY 441
